SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,$/SQUARE FEET,LATITUDE,LONGITUDE
June-6-2024,Single Family Residential,401 Broadway St,Frederick,MD,21701,430000,3,2,Frederick,1240,6500,2010,347,39.4077104,-77.4133495
June-7-2024,Single Family Residential,1715 Trotter St,Frederick,MD,21702,740000,4,2.5,KELLERTON,3888,7800,2020,190,39.463552,-77.439722
June-7-2024,Single Family Residential,6404 Spring Forest Rd,Frederick,MD,21701,670000,4,2.5,SPRING RIDGE,2865,9572,1995,234,39.4105151,-77.3387183
June-7-2024,Single Family Residential,6112 Fieldcrest Dr,Frederick,MD,21701,700000,6,3.5,SPRING RIDGE,3790,16474,1991,185,39.4025813,-77.3532901
June-7-2024,Single Family Residential,4957 Flossie Ave,Frederick,MD,21703,530000,3,2,MT ZION ESTATES,2156,42863,1981,246,39.3894808,-77.4993284
March-11-2025,Single Family Residential,4328 Dover Dr,Frederick,MD,21703,525000,4,3,WINDSOR ESTATES,2318,24393,1974,226,39.353434,-77.473247
March-11-2025,Single Family Residential,8217 Fox Hunt Ln,Frederick,MD,21702,660000,4,2.5,CLOVER HILL III,3560,21440,1993,185,39.4614598,-77.4382059
March-12-2025,Single Family Residential,614 Schley Ave,Frederick,MD,21702,526300,4,3,ROSEDALE,2522,11250,1957,209,39.4287719,-77.4227271
March-14-2025,Single Family Residential,6555 Saxony Ct,Frederick,MD,21701,1250000,5,4.5,WOODS AT SPRING RIDGE,4351,21126,2018,287,39.4133973,-77.3336301
March-14-2025,Single Family Residential,3975 Triton St,Frederick,MD,21704,850000,4,3.5,VILLAGES OF URBANA,3491,7061,2003,243,39.3375897,-77.3457755
March-22-2024,Single Family Residential,5714 Butterfly Ln,Frederick,MD,21703,477500,3,1.5,Frederick,1618,20037,1956,295,39.4134496,-77.4688125
March-22-2024,Single Family Residential,2411 Steepleview Ct,Frederick,MD,21702,465000,6,2.5,WHITTIER POND,2484,18771,1900,187,39.4527262,-77.4576083
March-22-2024,Single Family Residential,1326 Boundary Peak Ter,Frederick,MD,21702,697577,4,2.5,SYCAMORE RIDGE,2735,6851,2024,255,39.4444856,-77.4609444
March-22-2024,Single Family Residential,5523 Jefferson Blvd,Frederick,MD,21703,685000,4,2.5,SKYLINE ESTATES,3189,30927,1977,215,39.3845824,-77.5121275
March-22-2024,Single Family Residential,6795 Singletree Ct,Frederick,MD,21703,460000,3,2.5,FARMBROOK,1600,8748,1985,288,39.3872358,-77.4325933
